Ürün Kodu,Ürün Adı,Renk,Monamise Satış Fiyatı,İndirim Oranı (%),Monamise İndirimli Net Satış Fiyatı
18K18154,Sırtı Dekolteli Tüllü ve Dantelli Pijama Takımı,SİYAH,"2601,9",30.00,"1821,33"
18K18155,Dekolteli Yakası ve Kolu Dantelli Sabahlık Takımı,SİYAH,"3061,9",30.00,"2143,33"
18K18200,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,EKRU,"2021,9",30.00,"1415,33"
18K18201,Yakası ve Omzu Dantelli Önü Boydan Düğmeli Pijama Takımı,EKRU,"2731,9",30.00,"1912,33"
18K18202,Dantelli Önü Düğmeli Hamile Lohusa Sabahlık Takımı,EKRU,"3621,9",30.00,"2535,33"
18K18203,Dantelli Önü Düğmeli Hamile Lohusa 3'lü Pijama Takımı,EKRU,"3855,9",30.00,"2699,13"
18K18208,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,LACİVERT,"2021,9",30.00,"1415,33"
18K18209,Yakası ve Omzu Dantelli Önü Boydan Düğmeli Pijama Takımı,LACİVERT,"2731,9",30.00,"1912,33"
18K18210,Dantelli Önü Düğmeli Hamile Lohusa Sabahlık Takımı,LACİVERT,"3621,9",30.00,"2535,33"
18K18211,Dantelli Önü Düğmeli Hamile Lohusa 3'lü Pijama Takımı,LACİVERT,"3855,9",30.00,"2699,13"
18K18231,Yakası Kolu ve Omzu Dantelli Önü Düğmeli Pijama Takımı,LACİVERT,"2527,9",30.00,"1769,53"
18K18233,Yakası Kolu ve Omzu Dantelli Önü Düğmeli Pijama Takımı,EKRU,"2527,9",30.00,"1769,53"
18K18300,Dantelli Önü Düğmeli Hamile Lohusa Gecelik,EKRU,"2331,9",30.00,"1632,33"
18K18302,Dantelli Önü Düğmeli Hamile Lohusa Gecelik,LACİVERT,"2331,9",30.00,"1632,33"
18K18303,Dantelli Önü Düğmeli Hamile Lohusa Pijama Takımı,EKRU,"2719,9",30.00,"1903,93"
18K18305,Dantelli Önü Düğmeli Hamile Lohusa Pijama Takımı,LACİVERT,"2719,9",30.00,"1903,93"
18K18403,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,BORDO,"2123,9",30.00,"1486,73"
18K18404,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,LACİVERT,"2123,9",30.00,"1486,73"
18K18406,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,SİYAH,"2123,9",30.00,"1486,73"
18K18407,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,EKRU,"2123,9",30.00,"1486,73"
18K18408,Göğüs ve Sırt Dekolteli Dantelli Yırtmaçlı Askılı Gecelik,LACİVERT,"2121,9",30.00,"1485,33"
18K18420,Yakası Kolu ve Omzu Dantelli Önü Düğmeli Pijama Takımı,BORDO,"2527,9",30.00,"1769,53"
18K18422,Yakası ve Omzu Dantelli Önü Düğmeli Pijama Takımı,SİYAH,"2527,9",30.00,"1769,53"
18K18426,Yakası ve Omzu Dantelli Önü Düğmeli Pijama Takımı,SİYAH,"2731,9",30.00,"1912,33"
